profile_condition	profile_writer	scorer	n_profiles	HEXACO6_r	Beyond10_r	Continuous16_r	SVO_angle_r	parse_hexaco_min	parse_beyond_min	parse_svo_min	source_note
interwoven_biography	Gemma 4 31B	Gemini 3 Flash	290	0.911	0.790	0.835	0.881	1.000	1.000	1.000	full-290 interwoven-biography profile writer audit
interwoven_biography	Gemma 4 31B	Sonnet 4.6	290	0.921	0.775	0.830	0.723	1.000	1.000	1.000	full-290 interwoven-biography profile writer audit
interwoven_biography	Opus 4.7	Gemini 3 Flash	290	0.900	0.726	0.791	0.860	1.000	1.000	1.000	full-290 interwoven-biography profile writer audit
interwoven_biography	Opus 4.7	Sonnet 4.6	290	0.909	0.738	0.803	0.708	1.000	1.000	1.000	full-290 interwoven-biography profile writer audit
interwoven_biography	Qwen 3.7 Max	Gemini 3 Flash	290	0.910	0.737	0.802	0.873	1.000	1.000	1.000	full-290 interwoven-biography profile writer audit
psychometric_only	Gemma 4 31B	Sonnet 4.6	290	0.926	0.783	0.836	0.756	1.000	1.000	1.000	full-290 psychometric-only profile writer audit
psychometric_only	Opus 4.7	Gemini 3 Flash	290	0.921	0.747	0.812	0.868	0.467	1.000	1.000	full-290 psychometric-only profile writer audit
psychometric_only	Opus 4.7	Sonnet 4.6	290	0.927	0.765	0.826	0.820	1.000	1.000	1.000	full-290 psychometric-only profile writer audit
psychometric_only	Qwen 3.7 Max	Gemini 3 Flash	290	0.917	0.742	0.808	0.864	1.000	1.000	1.000	full-290 psychometric-only profile writer audit
psychometric_only	Qwen 3.7 Max	Sonnet 4.6	290	0.919	0.792	0.840	0.787	1.000	1.000	1.000	full-290 psychometric-only profile writer audit
